S.No.,Paper ID,Code,,Subject,Credit,Type,Exam,Mode,Kind,Minor,Major,Max. Marks Pass Marks
01,99202,ETMA202,APPLIED MATHEMATICS-IV,,4,THEORY,UES,COMPULSORY,DROPPABLE,25,75,100  40
02,27204,ETCS204,COMPUTER ORGANIZATION AND ARCHITECTURE,,3,THEORY,UES,COMPULSORY,DROPPABLE,25,75,100  40
03,28204,ETEC204,ANALOG ELECTRONICS-II,,4,THEORY,UES,COMPULSORY,DROPPABLE,25,75,100  40
04,28206,ETEC206,NETWORK ANALYSIS AND SYNTHESIS,,4,THEORY,UES,COMPULSORY,MANDATORY,25,75,100  40
05,49210,ETEE210,ELECTROMAGNETIC FIELD THEORY,,3,THEORY,UES,COMPULSORY,DROPPABLE,25,75,100  40
06,28212,ETEC212,COMMUNICATION SYSTEMS,,4,THEORY,UES,COMPULSORY,MANDATORY,25,75,100  40
07,99250,ETEN250,NCC/NSS,,1,PRACTICAL,NUES,COMPULSORY,MANDATORY,--,100,100  40
08,99252,ETMA252,APPLIED MATHEMATICS LAB,,1,PRACTICAL,UES,COMPULSORY,DROPPABLE,40,60,100  40
09,28254,ETEC254,ANALOG ELECTRONICS-II LAB,,1,PRACTICAL,UES,COMPULSORY,DROPPABLE,40,60,100  40
10,28256,ETEC256,COMMUNICATION SYSTEMS LAB,,1,PRACTICAL,UES,COMPULSORY,DROPPABLE,40,60,100  40
11,28258,ETEC258,NETWORK ANALYSIS AND SYNTHESIS LAB,,1,PRACTICAL,UES,COMPULSORY,DROPPABLE,40,60,100  40
12,27260,ETCS260,COMPUTER ORGANIZATION AND ARCHITECTURE LAB,,1,PRACTICAL,UES,COMPULSORY,DROPPABLE,40,60,100  40
